Name,NUM,CBEG,CEND,C,CrBEG,CrEND,Cr,CoBEG,CoEND,Co,MoBEG,MoEND,Mo,WBEG,WEND,W,TiBEG,TiEND,Ti,AlBEG,AlEND,Al,NbBEG,NbEND,Nb,TaBEG,TaEND,Ta,BBEG,BEND,B,ZrBEG,ZrEND,Zr,HfBEG,HfEND,Hf,VBEG,VEND,V,ReBEG,ReEND,Re,RuBeg,RuEnd,Ru,IrBeg,IrEnd,Ir,Mo_n_W,Al_n_Ti,NiBeg,NiEnd,Ni,d750,d760,d800,d816,d850,d870,d900,d926,d940,d950,d982,d1000,d1020,d1030,d1038,d1050,d1093,d1100,d1150,d1200
RR-2000,45,0,0,0,10,10,10,15,15,15,3,3,3,0,0,0,4,4,4,5.5,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,,,61.5,61.5,61.5,,,,,,,,,,,,,,,,,,,,
MXON,46,0,0,0,8,8,8,5,5,5,2,2,2,8,8,8,0,0,0,6.1,6.1,6.1,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,64.9,64.9,64.9,,,,,,,,,,,,,,,,,,,,
MMT143,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,100,100,100,,,,,,,,,,,,,,,,,,,,
TMS-1,48,0,0,0,5.5,5.5,5.5,7.5,7.5,7.5,0,0,0,16.6,16.6,16.6,0,0,0,5.2,5.2,5.2,0,0,0,5.1,5.1,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,60.1,60.1,60.1,,,,,,,,,,,,,,,,,,,,
SC-83,49,0,0,0,6.5,6.5,6.5,0,0,0,4.3,4.3,4.3,7.1,7.3,7.2,0,0,0,5.1,5.1,5.1,0,0,0,7.3,7.3,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,69.7,69.5,69.6,,,,,,,,,,,,,,,,,,,,
ВКНА-1ВНК,52,0.035,0.035,0.035,5.7,5.7,5.7,0,0,0,3.2,3.2,3.2,3.5,3.5,3.5,1.6,1.6,1.6,8.6,8.6,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,,,76.865,76.865,76.865,,,,,,,250,,,,,140,,,,,,90,55,
ВКНА-1В<111>,54,0.035,0.035,0.035,5.7,5.7,5.7,0,0,0,3.2,3.2,3.2,3.5,3.5,3.5,1.6,1.6,1.6,8.6,8.6,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,,,76.865,76.865,76.865,,,530,,,,,,,,,200,,,,,,100,,
ВКНА-4У ,55,0.02,0.02,0.02,5,5,5,4,4,4,5,5,5,2.2,2.2,2.2,0.9,0.9,0.9,8.5,8.5,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,74.38,74.38,74.38,,,,,,,280,,,,,180,,,,,,95,,45
ВКНА-4Умоно,56,0.02,0.02,0.02,5,5,5,4,4,4,5,5,5,2.2,2.2,2.2,0.9,0.9,0.9,8.5,8.5,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,74.38,74.38,74.38,,,,,,,380,333,311,294,245,220,194,181.5,172,158,116,110,75,
ВКНА-4Н,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,100,100,100,,,,,,,250,,,,,,,,,,,,,
SC16,61,0,0,0,15.4,15.4,15.4,0,0,0,3,3,3,0,0,0,3.5,3.5,3.5,3.5,3.5,3.5,0,0,0,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,71.1,71.1,71.1,,,,,,,,,,,,170.7,,,,110.5,,,,
pat4582548,64,0,0,0,7.2,8.2,7.7,4.3,4.9,4.6,0.3,0.7,0.5,7.6,8.4,8,0.8,1.2,1,5.45,5.75,5.6,0,0,0,5.8,6.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,68.55,64.65,66.6,,,,,,,,,,,,,,,,,,127,,
TMS-2 ,65,0,0,0,5.5,5.5,5.5,7.3,7.3,7.3,0,0,0,18.6,18.6,18.6,0,0,0,5.3,5.3,5.3,0,0,0,3.4,3.4,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,59.9,59.9,59.9,,,,,,,,,,,,,,,,,,,,
TMS-6,66,0,0,0,9.2,9.2,9.2,0,0,0,0,0,0,8.7,8.7,8.7,0,0,0,5.3,5.3,5.3,0,0,0,10.4,10.4,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,66.4,66.4,66.4,,,,,,,,,,,,,,,,,,,,
TMS-25,69,0,0,0,5.5,5.5,5.5,7.9,7.9,7.9,0,0,0,12.9,12.9,12.9,0,0,0,5.2,5.2,5.2,0,0,0,7.6,7.6,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,60.9,60.9,60.9,,,,,,,,,,,,,,,,,,,,
TMS-27,70,0,0,0,5.9,5.9,5.9,8.1,8.1,8.1,0,0,0,12.9,12.9,12.9,0.9,0.9,0.9,4.9,4.9,4.9,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,61.3,61.3,61.3,,,,,,,,,,,,,,,,,,,,
TMS-28,71,0,0,0,5.8,5.8,5.8,8.4,8.4,8.4,1.9,1.9,1.9,11,11,11,0.9,0.9,0.9,4.9,4.9,4.9,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,61.1,61.1,61.1,,,,,,,,,,,,,,,,,,,,
Alloy-444,72,0,0,0,5,8,6.5,0,0,0,10,10,10,15,15,15,1,5,3,2,8,5,0,3,1.5,12,12,12,0,0,0,0,0,0,0,3.5,1.75,0,0,0,0,7,3.5,0,0,0,0,0,0,,,55,28.5,41.75,,,,,,,,,,,,,,,,,,,,
ЦНК-7НК,73,0.1,0.1,0.1,14.7,14.7,14.7,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,8,76.19,76.19,76.19,,,,,,,,,,,,,,,,,,,,
ЦНК-9,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,100,100,100,,,,,,,,,,,,,,,,,,,,
ONERAM,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,100,100,100,,,,,,,,,,,,,,,,,,,,
Alloy-1444,78,0,0,0,9,9,9,0,0,0,0,0,0,12,12,12,2,2,2,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,72,72,72,,,,,,,,,,,,,,,,,,,,
Alloy-3,79,0,0,0,8.7,8.7,8.7,5.1,5.1,5.1,8,8,8,10,10,10,1.1,1.1,1.1,5.4,5.4,5.4,0,0,0,3.2,3.2,3.2,0,0,0,0,0,0,0.6,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,,,57.9,57.9,57.9,,,,,,,,,,,,,,,,,,,,
AM1,80,0,0,0,7.5,7.5,7.5,6.5,6.5,6.5,2,2,2,5.5,5.5,5.5,1.2,1.2,1.2,5.3,5.3,5.3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,64,64,64,,,,,,,,,,,,,,,,,,,,
Ц-12М,82,0.005,0.005,0.005,12,12,12,9,9,9,3.25,3.25,3.25,3.25,3.25,3.25,4.2,4.2,4.2,4.2,4.2,4.2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,8.4,63.095,63.095,63.095,,,,,,,,,,,,,,,,,,,,
Ц-10М,83,0.005,0.005,0.005,10.5,10.5,10.5,9,9,9,4.25,4.25,4.25,4.25,4.25,4.25,4.2,4.2,4.2,4.2,4.2,4.2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,8.4,62.595,62.595,62.595,,,,,,,,,,,,,,,,,,,,
203E,84,0,0,0,5,5,5,0,0,0,2,2,2,5,5,5,1,1,1,5.5,5.5,5.5,0,0,0,6.5,6.5,6.5,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,3,3,3,0,0,0,0,0,0,,,71.5,71.5,71.5,,,,,,,,,,,,,,,,,,,,
AM3,85,0,0,0,8,8,8,5.5,5.5,5.5,2.25,2.25,2.25,5,5,5,2,2,2,6,6,6,0,0,0,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,67.75,67.75,67.75,,,,,,,,,,,,,,,,,,,,
ВЖЛ12Э,86,0.12,0.12,0.12,9.8,9.8,9.8,9.2,9.2,9.2,3.1,3.1,3.1,1.2,1.2,1.2,4.4,4.4,4.4,5.1,5.1,5.1,0.7,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.7,0,0,0,0,0,0,0,0,0,,,65.68,65.68,65.68,,,,,,,,,,,,,,,,,,,,
MM-0011,92,0.14,0.14,0.14,8.3,8.3,8.3,10,10,10,0.7,0.7,0.7,10,10,10,1,1,1,5.5,5.5,5.5,0,0,0,3,3,3,0.015,0.015,0.015,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,61.295,61.295,61.295,,,,,,,,,,,,,,,,,,,,
PWA-1480/to1/,93,0,0,0,10,10,10,5,5,5,0,0,0,4,4,4,1.5,1.5,1.5,5,5,5,0,0,0,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,62.5,62.5,62.5,,,,,,,,,,,,,,,,,,,,
PWA-1480/to2/,94,0,0,0,10,10,10,5,5,5,0,0,0,4,4,4,1.5,1.5,1.5,5,5,5,0,0,0,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,62.5,62.5,62.5,,,,,,,,,,,,,,,,,,,,
CMSX-6,95,0,0,0,10,10,10,5,5,5,3,3,3,0,0,0,4.7,4.7,4.7,4.8,4.8,4.8,0,0,0,2,2,2,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,,,70.4,70.4,70.4,,,,,,,,,,,,,,,,,,,,
ВКНА-1В<011>,97,0.035,0.035,0.035,5.7,5.7,5.7,0,0,0,3.2,3.2,3.2,3.5,3.5,3.5,1.6,1.6,1.6,8.6,8.6,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,,,76.865,76.865,76.865,,,500,,,,,,,,,130,,,,,,72,,
ВКНА-1В+Zr,98,0.035,0.035,0.035,5.7,5.7,5.7,0,0,0,3.2,3.2,3.2,3.5,3.5,3.5,1.6,1.6,1.6,8.6,8.6,8.6,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,,,76.565,76.565,76.565,,,,,,,380,,,,,,,,,,,,,
fr_pat_2599757,99,0,0,0,7.8,8.3,8.05,5,6,5.5,2.1,2.4,2.25,4.8,5.2,5,1.8,2.2,2,5.8,6.1,5.95,0,0,0,3.3,3.7,3.5,0,0.001,0.001,0,0.005,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,69.4,66.094,67.747,,,,,,,,,,,,,,,,,,,,
ONERA-1,100,0,0,0,7,7,7,5,5,5,2.25,2.25,2.25,4,4,4,2,2,2,6,6,6,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,,,69.25,69.25,69.25,,,756,712.3,595.5,527.1,426,347.6,308.6,285.5,227.7,205.2,179.2,169.5,158.4,146.5,,,,
ONERA-2,101,0,0,0,7,7,7,5,5,5,2.25,2.25,2.25,4,4,4,2,2,2,6,6,6,0.5,0.5,0.5,3,3,3,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,,,69.75,69.75,69.75,,,,,570,,,,,288.5,,195,,,,137,,,,
ONERA-3,102,0,0,0,8.1,8.1,8.1,5.55,5.55,5.55,2.22,2.22,2.22,4.98,4.98,4.98,2.02,2.02,2.02,6.07,6.07,6.07,0,0,0,3.36,3.36,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,67.7,67.7,67.7,,,755.1,727.7,609.7,540.3,442.2,354.4,321.8,300,243.3,223.1,202.1,189.8,182.7,171.1,,,,
CMSX-11B,103,0,0.002,0.001,12.1,12.5,12.3,5.7,7,6.35,0.45,0.55,0.5,5,5.6,5.3,4.1,4.2,4.15,3.6,3.6,3.6,0.1,0.2,0.15,5,5.45,5.225,0,0.002,0.001,0,0.001,0.001,0.004,0.04,0.022,0,0,0,0,0,0,0,0,0,0,0,0,,,63.946,60.855,62.401,,,,,,,,,,,,,,,,,,,,
alliage-c,104,0,0,0,7.5,7.5,7.5,6.5,6.5,6.5,1.5,1.5,1.5,7,7,7,1.8,1.8,1.8,5.3,5.3,5.3,0,0,0,6.5,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,63.9,63.9,63.9,,,,,,,,,,,,,,,,,,,,
5151249/5A/,105,0,0.07,0.035,4.5,4.5,4.5,12.5,12.5,12.5,0,0,0,5.8,5.8,5.8,0,0,0,6.1,6.1,6.1,0,0,0,7,7,7,0,0.008,0.004,0,0,0,0,0.5,0.25,0,0,0,6.2,6.2,6.2,0,0,0,0,0,0,,,57.9,57.323,57.611,,,,,,,,,,,,,,,,,,,55.8,43.5
5151249/3B/,106,0,0.07,0.035,5,5,5,12.5,12.5,12.5,0,0,0,5.5,5.5,5.5,0.5,0.5,0.5,5.7,5.7,5.7,0,0,0,8,8,8,0,0.008,0.004,0,0,0,0,0.5,0.25,0,0,0,6,6,6,3,3,3,0,0,0,,,53.8,53.223,53.511,,,,,,,,,,,,,,,,,,,,48
DS-16,107,0.06,0.06,0.06,16,16,16,5,5,5,3,3,3,0,0,0,3.5,3.5,3.5,3.5,3.5,3.5,0,0,0,3.5,3.5,3.5,0.015,0.015,0.015,0.015,0.015,0.015,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,64.41,64.41,64.41,,,,,,,,,,,,,,,,,,,,
DS_GTD-111,108,0.1,0.1,0.1,14,14,14,9.4,9.4,9.4,1.5,1.5,1.5,3.7,3.7,3.7,5,5,5,3,3,3,0,0,0,3,3,3,0.01,0.01,0.01,0.05,0.05,0.05,0.15,0.15,0.15,0,0,0,0,0,0,0,0,0,0,0,0,,,60.09,60.09,60.09,,,,,,,,,,,,,,,,,,,,
IN_792_LC,109,0.08,0.08,0.08,12.5,12.5,12.5,9,9,9,1.85,1.85,1.85,4.1,4.1,4.1,3.5,3.5,3.5,3.4,3.4,3.4,0,0,0,4.1,4.1,4.1,0.015,0.015,0.015,0.02,0.02,0.02,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,60.435,60.435,60.435,,,,,,,,,,,,,,,,,,,,
PWA-1483,110,0.007,0.007,0.007,12,12,12,9,9,9,1.9,1.9,1.9,3.8,3.8,3.8,4.1,4.1,4.1,3.6,3.6,3.6,0,0,0,5,5,5,0.003,0.003,0.003,0.001,0,0,0.007,0.007,0.007,0,0,0,0,0,0,0,0,0,0,0,0,,,60.583,60.583,60.583,,,,,,,,,,,,,,,,,,,,
CMSX-11C,111,0.002,0.002,0.002,14.9,14.9,14.9,3,3,3,0.4,0.4,0.4,4.5,4.5,4.5,4.2,4.2,4.2,3.4,3.4,3.4,0.01,0.01,0.01,5,5,5,0.002,0.002,0.002,0.001,0.001,0.001,0.004,0.004,0.004,0,0,0,0,0,0,0,0,0,0,0,0,,,64.581,64.581,64.581,,,,,,,,,,,,,,,,,,,,
"4,459,160/1/",112,0.15,0.15,0.15,9,9,9,10,10,10,0,0,0,10,10,10,1.5,1.5,1.5,5.5,5.5,5.5,0,0,0,2.5,2.5,2.5,0.015,0.015,0.015,0.05,0.05,0.05,1.2,1.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,,,60.085,60.085,60.085,,,,,,,,,,,,,,,128,,,,,
"6,159,314/comparat/",113,0,0,0,4.9,5.5,5.2,6,9,7.5,2.5,3.5,3,8,9.5,8.75,0.1,1,0.55,5.1,5.5,5.3,0,0,0,4,5,4.5,0,0,0,0,0,0,0.01,0.2,0.105,0,0,0,2,3.5,2.75,0,0,0,0,0,0,,,67.39,57.3,62.345,,,,,,,,,,379,318,288,247,232,218,203,161,158,125,
"5,154,884/2/",115,0,0,0,7.5,7.5,7.5,7.4,7.4,7.4,1.43,1.43,1.43,5.2,5.2,5.2,4.3,4.3,4.3,3.3,3.3,3.3,0.5,0.5,0.5,3.52,3.52,3.52,0,0,0,0,0,0,0,0,0,0,0,0,2.98,2.98,2.98,0,0,0,0,0,0,,,63.87,63.87,63.87,,,,,,,,,,,,,,,,,,,50,36
rene150,116,0,0,0,5,5,5,12,12,12,1,1,1,5,5,5,0,0,0,5.5,5.5,5.5,0,0,0,6,6,6,0,0,0,0,0,0,1.5,1.5,1.5,2.2,2.2,2.2,3,3,3,0,0,0,0,0,0,,,58.8,58.8,58.8,,,,,,,,,,,,,,,,,,,45.5,33
"5,154,884/4/",117,0,0,0,8.95,8.95,8.95,7.6,7.6,7.6,1.46,1.46,1.46,6,6,6,4.45,4.45,4.45,3.5,3.5,3.5,0.51,0.51,0.51,3.72,3.72,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,63.81,63.81,63.81,,,,,,,,,,,,,,,,,,55,42,31
"4,802,934/ca8/",118,0,0,0,6.8,6.8,6.8,0,0,0,2.9,2.9,2.9,0,0,0,0,0,0,5.4,5.4,5.4,0,0,0,14.3,14.3,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,70.6,70.6,70.6,,,,,,,,,,,,,,,,150,,,,
"6,051,083",121,0.15,0.15,0.15,7.1,7.1,7.1,1,1,1,0.83,0.83,0.83,8.8,8.8,8.8,0,0,0,5.08,5.08,5.08,0.8,0.8,0.8,8.9,8.9,8.9,0.012,0.012,0.012,0,0.001,0.001,0,0.001,0.001,0,0,0,1.42,1.42,1.42,0,0,0,0,0,0,,,65.908,65.906,65.907,,,,,,,,320,,,,,,,,,,,,
"4,402,772/H/",122,0,0,0,10,10,10,5,5,5,1.5,1.5,1.5,7,7,7,1.4,1.4,1.4,5,5,5,0,0,0,6,6,6,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,,,64,64,64,,,,,,,,,,,248.4,,,,,,,,,
"3,887,363/123/",123,0,0,0,5.4,5.4,5.4,3.5,3.5,3.5,0,0,0,1.5,1.5,1.5,0,0,0,12.7,12.7,12.7,0,0,0,2.2,2.2,2.2,0,0,0,0,0,0,0,0,0,5.5,5.5,5.5,0.5,0.5,0.5,0,0,0,0,0,0,,,68.7,68.7,68.7,,,,,,,,,,414,,,,,,,,,,
"3,887,363/143/",124,0,0,0,9,9,9,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,12.7,12.7,12.7,0,0,0,2.2,2.2,2.2,0,0,0,0,0,0,0,0,0,5.5,5.5,5.5,1,1,1,0,0,0,0,0,0,,,66.1,66.1,66.1,,,,,,,,,,414,241.5,,,,,,,,,
"5,100,484/811/",125,0.05,0.05,0.05,8,8,8,7.5,7.5,7.5,3,3,3,0,0,0,0,0,0,6.4,6.4,6.4,0,0,0,6,6,6,0.004,0.004,0.004,0,0,0,0.15,0.15,0.15,0,0,0,4.5,4.5,4.5,0,0,0,0,0,0,,,64.396,64.396,64.396,,,,,,552,,,,,,,,,,,,,,
"5,100,484/804/",126,0.05,0.05,0.05,8,8,8,7.5,7.5,7.5,0,0,0,2,2,2,1.5,1.5,1.5,5.75,5.75,5.75,0,0,0,5,5,5,0.004,0.004,0.004,0,0,0,0.15,0.15,0.15,0,0,0,6,6,6,0,0,0,0,0,0,,,64.046,64.046,64.046,,,,,,,,,,,276,,,,,,,,,
"5,100,484/807/",127,0.05,0.05,0.05,8,8,8,7.5,7.5,7.5,1.5,1.5,1.5,3,3,3,1,1,1,6,6,6,0,0,0,6,6,6,0.004,0.004,0.004,0,0,0,0.15,0.15,0.15,0,0,0,3,3,3,0,0,0,0,0,0,,,63.796,63.796,63.796,,,,,,,,,,,,,,,,,138,,,
"5,100,484/822/",128,0.004,0.004,0.004,6,6,6,7.5,7.5,7.5,1.5,1.5,1.5,5,5,5,0,0,0,6.2,6.2,6.2,0,0,0,6.5,6.5,6.5,0.05,0.05,0.05,0,0,0,0.15,0.15,0.15,0,0,0,3,3,3,0,0,0,0,0,0,,,64.096,64.096,64.096,,,,,,,,,,,,,,,,,,,89.7,
Rene_162,129,0.05,0.05,0.05,4.5,4.5,4.5,12.5,12.5,12.5,0,0,0,5.75,5.75,5.75,0,0,0,6.25,6.25,6.25,0,0,0,7,7,7,0.004,0.004,0.004,0,0,0,0.15,0.15,0.15,0,0,0,6.25,6.25,6.25,0,0,0,0,0,0,,,57.546,57.546,57.546,,,,,,,,,,,,,,,,,140.76,,,
alloy_5W_/R`N6/,130,0.05,0.05,0.05,4.17,4.17,4.17,12.5,12.5,12.5,1.4,1.4,1.4,5.98,5.98,5.98,0,0,0,5.75,5.75,5.75,0,0,0,7.21,7.21,7.21,0.004,0.004,0.004,0,0,0,0.15,0.15,0.15,0,0,0,5.39,5.39,5.39,0,0,0,0,0,0,,,57.396,57.396,57.396,,,,,,,,,,,,,,,,,,,,
MC2,131,0,0,0,8,8,8,5,5,5,2,2,2,8,8,8,1.5,1.5,1.5,5,5,5,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,64.5,64.5,64.5,,,,,,,,,,,,,,,,,,,,
MC820,132,0,0,0,5,5,5,0,0,0,1,1,1,8,8,8,1,1,1,5.5,5.5,5.5,0,0,0,6,6,6,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,2,2,2,0,0,0,0,0,0,,,71.4,71.4,71.4,,,,,,,,,,,,,,,,,,,100,
MC533,133,0,0,0,7,7,7,0,0,0,0,0,0,5,5,5,0,0,0,6,6,6,0,0,0,6,6,6,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,3,3,3,3,3,3,0,0,0,,,69.9,69.9,69.9,,,,,,,,,,,,,,,,,,,,
MC440,134,0,0,0,5,5,5,0,0,0,1,1,1,4,4,4,0,0,0,5.5,5.5,5.5,0,0,0,9,9,9,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,4,4,4,0,0,0,0,0,0,,,71.4,71.4,71.4,,,,,,,,,,,,,,,,,,130,,
MC722,135,0,0,0,4.5,4.5,4.5,0,0,0,1,1,1,7,7,7,0,0,0,5.8,5.8,5.8,0,0,0,6,6,6,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,,,70.6,70.6,70.6,,,,,,,,,,,,,,,,,,,,
MC623,136,0,0,0,6,6,6,0,0,0,1,1,1,6,6,6,0.5,0.5,0.5,5.7,5.7,5.7,0,0,0,5.5,5.5,5.5,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,2,2,2,3,3,3,0,0,0,,,70.2,70.2,70.2,,,,,,,,,,,,,,,,,,,,
MC622,137,0,0,0,5.5,5.5,5.5,0,0,0,1,1,1,6,6,6,0.5,0.5,0.5,5.9,5.9,5.9,0,0,0,5,5,5,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,2.5,2.5,2.5,2,2,2,0,0,0,,,71.5,71.5,71.5,,,,,,,,,,,,,,,,,,,,
MC544,138,0,0,0,4,4,4,0,0,0,1,1,1,5,5,5,0.5,0.5,0.5,6,6,6,0,0,0,5,5,5,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,4,4,4,4,4,4,0,0,0,,,70.4,70.4,70.4,,,,,,,,,,,,,,,,,,,,
MC645,139,0,0,0,5,5,5,0,0,0,0,0,0,6,6,6,0.5,0.5,0.5,6,6,6,0,0,0,5,5,5,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,4,4,4,5,5,5,0,0,0,,,68.4,68.4,68.4,,,,,,,,,,,,,,,,,,,,
MC653,140,0,0,0,4,4,4,0,0,0,1,1,1,6,6,6,1,1,1,5.3,5.3,5.3,0,0,0,6.2,6.2,6.2,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,5,5,5,3,3,3,0,0,0,,,68.4,68.4,68.4,,,,,,,,,,,,,,,,,,,,
GB2159174,141,0,0.05,0.025,8,10,9,0,5,2.5,0,3,1.5,9,11,10,0,1,0.5,3,5,4,0,1,0.5,13,16,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.5,0,0,0,0,0,0,,,67,44.95,55.975,,,,,,,,,,,,,,,,,,,,
