,C,Cr,Co,Mo,W,Ti,Al,Nb,Ta,B,Zr,Hf,V,Re,Ir,temp,sigma
8,0.11,5.5,9.4,0.9,12.0,1.0,5.3,1.6,0.0,0.0,0.0,0.0,0.9,0.0,0.0,760,659.45
9,0.11,5.5,9.4,0.9,12.0,1.0,5.3,1.6,0.0,0.0,0.0,0.0,0.9,0.0,0.0,760,719.0
22,0.02,9.5,15.0,3.0,0.0,4.75,5.5,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,760,620.0
32,0.15,5.0,9.0,1.0,8.3,0.0,6.0,1.5,4.0,0.015,0.05,0.0,0.0,4.0,0.0,800,725.0
21,0.02,8.0,13.0,2.3,0.0,4.6,6.2,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,760,800.0
33,0.0,8.0,5.0,0.6,8.0,1.0,5.6,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,816,670.0
42,0.02,8.0,13.0,2.3,0.0,4.6,6.2,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,800,676.0
54,0.0,8.1,5.55,2.22,4.98,2.02,6.07,0.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0,800,755.1
40,0.035,5.7,0.0,3.2,3.5,1.6,8.6,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,800,480.0
44,0.02,9.5,15.0,3.0,0.0,4.75,5.5,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,800,530.0
52,0.0,7.0,5.0,2.25,4.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,800,756.0
60,0.035,5.7,0.0,3.2,3.5,1.6,8.6,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,816,443.3
64,0.15,5.0,9.0,1.0,8.3,0.0,6.0,1.5,4.0,0.015,0.05,0.0,0.0,4.0,0.0,850,600.0
35,0.0,9.0,0.0,1.0,10.5,1.1,5.775,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,870,476.0
55,0.0,8.0,5.0,0.6,8.0,1.0,5.6,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,870,485.0
70,0.0,6.6,9.65,0.6,6.4,1.0,5.6,0.0,6.5,0.0,0.0,0.095,0.0,3.0,0.0,870,586.5
80,0.035,5.7,0.0,3.2,3.5,1.6,8.6,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,850,371.25
66,0.02,9.5,15.0,3.0,0.0,4.75,5.5,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,816,510.0
78,0.0,7.0,5.0,2.25,4.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,816,712.3
108,0.0,8.1,5.55,2.22,4.98,2.02,6.07,0.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0,850,609.7
49,0.0,9.0,0.0,1.0,10.5,1.1,5.775,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,926,326.0
63,0.02,8.0,13.0,2.3,0.0,4.6,6.2,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,816,623.5
77,0.0,8.0,5.0,0.6,8.0,1.0,5.6,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,926,343.0
91,0.15,5.0,9.0,1.0,8.3,0.0,6.0,1.5,4.0,0.015,0.05,0.0,0.0,4.0,0.0,926,423.0
98,0.0,6.6,9.65,0.6,6.4,1.0,5.6,0.0,6.5,0.0,0.0,0.095,0.0,3.0,0.0,926,421.0
105,0.02,8.0,13.0,2.3,0.0,4.6,6.2,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,870,452.0
126,0.02,8.0,13.0,2.3,0.0,4.6,6.2,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,900,363.0
133,0.0,2.0,3.0,0.4,5.0,0.2,5.7,0.1,8.0,0.0,0.0,0.15,0.0,6.0,0.0,926,482.0
88,0.02,9.5,15.0,3.0,0.0,4.75,5.5,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,850,460.0
104,0.0,7.0,5.0,2.25,4.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,850,595.5
128,0.15,5.0,9.0,1.0,8.3,0.0,6.0,1.5,4.0,0.015,0.05,0.0,0.0,4.0,0.0,940,378.0
152,0.0,2.0,3.0,0.4,5.0,0.2,5.7,0.1,8.0,0.0,0.0,0.15,0.0,6.0,0.0,940,443.0
81,0.0,8.1,5.55,2.22,4.98,2.02,6.07,0.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0,816,727.7
99,0.0,8.0,5.0,0.6,8.0,1.0,5.6,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,950,297.0
117,0.15,5.0,9.0,1.0,8.3,0.0,6.0,1.5,4.0,0.015,0.05,0.0,0.0,4.0,0.0,950,364.0
135,0.0,8.1,5.55,2.22,4.98,2.02,6.07,0.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0,870,540.3
162,0.0,8.1,5.55,2.22,4.98,2.02,6.07,0.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0,900,442.2
171,0.0,2.0,3.0,0.4,5.0,0.2,5.7,0.1,8.0,0.0,0.0,0.15,0.0,6.0,0.0,950,418.0
110,0.02,9.5,15.0,3.0,0.0,4.75,5.5,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,870,455.0
130,0.0,7.0,5.0,2.25,4.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,870,527.1
150,0.02,5.0,4.0,5.0,2.2,0.9,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,380.0
160,0.035,5.7,0.0,3.2,3.5,1.6,8.6,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,940,220.0
170,0.0,6.5,9.0,0.6,6.0,1.0,5.6,0.0,9.5,0.0,0.0,0.1,0.0,3.0,0.0,982,318.0
180,0.035,5.7,0.0,3.2,3.5,1.6,8.6,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,950,206.0
190,0.0,2.0,3.0,0.4,5.0,0.2,5.7,0.1,8.0,0.0,0.0,0.15,0.0,6.0,0.0,982,339.0
121,0.0,8.0,5.0,0.6,8.0,1.0,5.6,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,218.0
132,0.02,9.5,15.0,3.0,0.0,4.75,5.5,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,900,295.0
143,0.15,5.0,9.0,1.0,8.3,0.0,6.0,1.5,4.0,0.015,0.05,0.0,0.0,4.0,0.0,1000,258.0
154,0.02,9.5,15.0,3.0,0.0,4.75,5.5,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,926,245.0
165,0.027,7.0,7.5,1.5,3.5,0.75,6.075,0.0,5.75,0.027,0.0,0.15,0.0,4.5,0.0,1000,260.0
176,0.02,9.5,15.0,3.0,0.0,4.75,5.5,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,940,215.0
187,0.0,6.5,9.0,0.6,6.0,1.0,5.6,0.0,9.5,0.0,0.0,0.1,0.0,3.0,0.0,1000,278.0
198,0.02,9.5,15.0,3.0,0.0,4.75,5.5,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,950,195.0
209,0.0,2.0,3.0,0.4,5.0,0.2,5.7,0.1,8.0,0.0,0.0,0.15,0.0,6.0,0.0,1000,308.0
156,0.0,7.0,5.0,2.25,4.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,900,426.0
204,0.0,6.5,9.0,0.6,6.0,1.0,5.6,0.0,9.5,0.0,0.0,0.1,0.0,3.0,0.0,1020,230.0
216,0.0,8.1,5.55,2.22,4.98,2.02,6.07,0.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0,940,321.8
228,0.0,2.0,3.0,0.4,5.0,0.2,5.7,0.1,8.0,0.0,0.0,0.15,0.0,6.0,0.0,1020,277.0
169,0.15,5.0,9.0,1.0,8.3,0.0,6.0,1.5,4.0,0.015,0.05,0.0,0.0,4.0,0.0,1030,208.0
182,0.0,7.0,5.0,2.25,4.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,926,347.6
195,0.027,7.0,7.5,1.5,3.5,0.75,6.075,0.0,5.75,0.027,0.0,0.15,0.0,4.5,0.0,1030,214.0
208,0.0,7.0,5.0,2.25,4.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,940,308.6
221,0.0,6.5,9.0,0.6,6.0,1.0,5.6,0.0,9.5,0.0,0.0,0.1,0.0,3.0,0.0,1030,209.0
234,0.0,7.0,5.0,2.25,4.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,950,285.5
247,0.0,2.0,3.0,0.4,5.0,0.2,5.7,0.1,8.0,0.0,0.0,0.15,0.0,6.0,0.0,1030,262.0
210,0.02,8.0,13.0,2.3,0.0,4.6,6.2,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,982,177.0
238,0.0,6.5,9.0,0.6,6.0,1.0,5.6,0.0,9.5,0.0,0.0,0.1,0.0,3.0,0.0,1038,190.0
252,0.0,5.2,7.5,3.0,8.75,0.55,5.3,0.0,4.5,0.0,0.0,0.105,0.0,2.75,0.0,950,379.0
266,0.0,2.0,3.0,0.4,5.0,0.2,5.7,0.1,8.0,0.0,0.0,0.15,0.0,6.0,0.0,1038,247.0
225,0.02,5.0,4.0,5.0,2.2,0.9,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950,294.0
240,0.0,2.9,11.6,1.9,5.8,0.0,5.8,0.0,5.8,0.0,0.0,0.1,0.0,4.9,3.0,982,348.1
255,0.0,6.5,9.0,0.6,6.0,1.0,5.6,0.0,9.5,0.0,0.0,0.1,0.0,3.0,0.0,1050,171.0
270,0.0,8.1,5.55,2.22,4.98,2.02,6.07,0.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0,982,243.3
285,0.0,2.0,3.0,0.4,5.0,0.2,5.7,0.1,8.0,0.0,0.0,0.15,0.0,6.0,0.0,1050,224.0
256,0.15,5.0,9.0,1.0,8.3,0.0,6.0,1.5,4.0,0.015,0.05,0.0,0.0,4.0,0.0,1093,128.0
272,0.0,6.5,9.0,0.6,6.0,1.0,5.6,0.0,9.5,0.0,0.0,0.1,0.0,3.0,0.0,1093,145.0
288,0.0,2.9,11.6,1.9,5.8,0.0,5.8,0.0,5.8,0.0,0.0,0.1,0.0,4.9,3.0,1020,271.0
304,0.0,2.0,3.0,0.4,5.0,0.2,5.7,0.1,8.0,0.0,0.0,0.15,0.0,6.0,0.0,1093,175.0
289,0.0,6.5,9.0,0.6,6.0,1.0,5.6,0.0,9.5,0.0,0.0,0.1,0.0,3.0,0.0,1100,141.0
306,0.0,6.5,9.0,0.6,6.0,1.0,5.6,0.0,6.5,0.0,0.0,0.1,0.0,3.0,0.0,1100,153.0
323,0.0,2.0,3.0,0.4,5.0,0.2,5.7,0.1,8.0,0.0,0.0,0.15,0.0,6.0,0.0,1100,166.0
324,0.0,8.1,5.55,2.22,4.98,2.02,6.07,0.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0,1020,202.1
342,0.0,2.0,3.0,0.4,5.0,0.2,5.7,0.1,8.0,0.0,0.0,0.15,0.0,6.0,0.0,1150,123.0
361,0.0,2.0,3.0,0.4,5.0,0.2,5.7,0.1,8.0,0.0,0.0,0.15,0.0,6.0,0.0,1200,89.0
200,0.02,5.0,4.0,5.0,2.2,0.9,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,940,311.0
220,0.02,9.5,15.0,3.0,0.0,4.75,5.5,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,982,151.75
260,0.0,7.0,5.0,2.25,4.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,982,227.7
280,0.0,5.2,7.5,3.0,8.75,0.55,5.3,0.0,4.5,0.0,0.0,0.105,0.0,2.75,0.0,982,318.0
300,0.02,5.0,4.0,5.0,2.2,0.9,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020,194.0
320,0.035,5.7,0.0,3.2,3.5,1.6,8.6,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1093,92.0
340,0.035,5.7,0.0,3.2,3.5,1.6,8.6,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1100,90.0
360,0.0,2.9,11.6,1.9,5.8,0.0,5.8,0.0,5.8,0.0,0.0,0.1,0.0,4.9,3.0,1050,206.0
147,0.02,8.0,13.0,2.3,0.0,4.6,6.2,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,926,294.0
189,0.0,8.1,5.55,2.22,4.98,2.02,6.07,0.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0,926,354.4
231,0.02,8.0,13.0,2.3,0.0,4.6,6.2,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,1000,153.0
336,0.0,5.2,7.5,3.0,8.75,0.55,5.3,0.0,4.5,0.0,0.0,0.105,0.0,2.75,0.0,1020,247.0
378,0.0,8.1,5.55,2.22,4.98,2.02,6.07,0.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0,1038,182.7
242,0.02,9.5,15.0,3.0,0.0,4.75,5.5,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,1000,125.0
264,0.0,2.9,11.6,1.9,5.8,0.0,5.8,0.0,5.8,0.0,0.0,0.1,0.0,4.9,3.0,1000,309.0
286,0.0,7.0,5.0,2.25,4.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,1000,205.2
308,0.0,5.2,7.5,3.0,8.75,0.55,5.3,0.0,4.5,0.0,0.0,0.105,0.0,2.75,0.0,1000,288.0
230,0.0,3.0,12.0,2.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.1,0.0,5.0,0.0,982,348.1
253,0.0,3.0,12.0,2.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.1,0.0,5.0,0.0,1000,309.0
276,0.0,3.0,12.0,2.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.1,0.0,5.0,0.0,1020,271.0
299,0.0,3.0,12.0,2.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.1,0.0,5.0,0.0,1030,249.41
322,0.0,3.0,12.0,2.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.1,0.0,5.0,0.0,1038,232.0
345,0.0,3.0,12.0,2.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.1,0.0,5.0,0.0,1050,206.0
368,0.0,3.0,12.0,2.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.1,0.0,5.0,0.0,1093,151.0
391,0.0,3.0,12.0,2.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.1,0.0,5.0,0.0,1100,147.0
414,0.0,3.0,12.0,2.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.1,0.0,5.0,0.0,1150,111.0
312,0.0,7.0,5.0,2.25,4.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,1020,179.2
384,0.0,2.9,11.6,1.9,5.8,0.0,5.8,0.0,5.8,0.0,0.0,0.1,0.0,4.9,3.0,1093,151.0
408,0.0,2.9,11.6,1.9,5.8,0.0,5.8,0.0,5.8,0.0,0.0,0.1,0.0,4.9,3.0,1100,147.0
175,0.02,5.0,4.0,5.0,2.2,0.9,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,926,333.0
250,0.02,5.0,4.0,5.0,2.2,0.9,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,982,245.0
275,0.02,5.0,4.0,5.0,2.2,0.9,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,220.0
325,0.02,5.0,4.0,5.0,2.2,0.9,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030,181.5
350,0.02,5.0,4.0,5.0,2.2,0.9,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1038,172.0
375,0.02,5.0,4.0,5.0,2.2,0.9,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050,158.0
400,0.02,5.0,4.0,5.0,2.2,0.9,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1093,116.0
425,0.02,5.0,4.0,5.0,2.2,0.9,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100,110.0
450,0.02,5.0,4.0,5.0,2.2,0.9,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150,75.0
338,0.0,7.0,5.0,2.25,4.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,1030,169.5
364,0.0,5.2,7.5,3.0,8.75,0.55,5.3,0.0,4.5,0.0,0.0,0.105,0.0,2.75,0.0,1030,232.0
390,0.0,7.0,5.0,2.25,4.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,1050,146.5
243,0.0,8.1,5.55,2.22,4.98,2.02,6.07,0.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0,950,300.0
297,0.0,8.1,5.55,2.22,4.98,2.02,6.07,0.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0,1000,223.1
351,0.0,8.1,5.55,2.22,4.98,2.02,6.07,0.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0,1030,189.8
405,0.0,8.1,5.55,2.22,4.98,2.02,6.07,0.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0,1050,171.1
392,0.0,5.2,7.5,3.0,8.75,0.55,5.3,0.0,4.5,0.0,0.0,0.105,0.0,2.75,0.0,1038,218.0
420,0.0,5.2,7.5,3.0,8.75,0.55,5.3,0.0,4.5,0.0,0.0,0.105,0.0,2.75,0.0,1050,203.0
448,0.0,5.2,7.5,3.0,8.75,0.55,5.3,0.0,4.5,0.0,0.0,0.105,0.0,2.75,0.0,1093,161.0
476,0.0,5.2,7.5,3.0,8.75,0.55,5.3,0.0,4.5,0.0,0.0,0.105,0.0,2.75,0.0,1100,158.0
504,0.0,5.2,7.5,3.0,8.75,0.55,5.3,0.0,4.5,0.0,0.0,0.105,0.0,2.75,0.0,1150,125.0
